class,description
ทักทาย,สวัสดี
ทักทาย,หวัดดี
คำถาม,มีอะไรบ้าง
คำถาม,ทำไรได้บ้าง
ทักทาย,สวัสดีค่า
ทักทาย,สวัสดี
ทักทาย,สวัสดีครับ
คำถาม,มีโครงการอะไรบ้าง
ขอบคุณ,ขอบคุณครับ
ขอบคุณ,ขอบคุณค่ะ
ขอบคุณ,ขอบคุณค่า
ทักทาย,สวัสดีค่ะ :)
ขอบคุณ,ขอบคุณค่าา :)
ค้นหา,เพจรักษ์แมว ปันน้ำใจให้แมวจร
ทักทาย,สวัสดีค่ะ
ทักทาย,สวัสดีค่า
ทักทาย,สวัสดีคะ
ค้นหา,โครงการChange Fusion
คำถาม,โครงการเกี่ยวกับเด็ก
คำถาม,เทใจคืออะไร
ทักทาย,สวัสดีครับ ^^
ค้นหา,โรงพยาบาลอุ้มผาง
ทักทาย,สวัสดีค่ะ
ค้นหา,โรงอาหารของเด็กๆที่ชุมชนสวนอ้อย
คำถาม,สวัสดีค่ะ เมื่อกี้บริจาคผ่านระบบให้Teach for Thailand หมื่นฝันปันโอกาส จำนวน 2000บาท แต่พิมพ์ email address ผิด ชื่อ ป้อมปราณณ์ เนตยวิจิตร์ email: pompran@gmail.com ค่ะแต่พิมพ์ผิดเป้นpomptan@gmail.com ช่วยแก้ไขในระบบให้ด่วนๆได้ไหมคะ บริจาคผ่านVisa card จำนวน2000บาท ขอรับเสื้อยืด Limited Education ของ Greyhound 2ตัว size L ผู้หญิงได้ไหมคะ ติดต่อกลับ ป้อม 089 693 5554 ขอบคุณมากค่ะ
ขอโทษ,ขอโทษด้วยนะคะ
ขอบคุณ,ขอบพระคุณเป็นอย่างสูง
ขอบคุณ,ขอบคุณค่ะ
ทักทาย,สวัสดีครับ
ขอบคุณ,ขอบคุณคะ
คำถาม,เบอร์ออฟฟิศ
คำถาม,สวัสดีค่ะ คืออยากจะขอทราบรายละเอียดน่ะค่ะ ว่าหลังจากที่ได้รับเงินบริจาคแล้วขั้นตอนต่อไปจะต้องทำอย่างไรคะ จะส่งรายงานและของขวัญให้กับผู้บริจาคได้อย่างไร
คำถาม,อีเมลอะไร
ขอบคุณ,ขอบคุณค่า
คำถาม,รบกวนสอบถามค่ะ
คำถาม,สวัสดีครับผมรบกวนสอบถามพอดีผมพบน้องหมามีอาการชักหายใจรวยรินมีน้ำลายฟูมปากผมจะให้ไปช่วยเหลือได้ยังไงบ้างครับ
ค้นหา,Rice bucket
คำถาม,เมื่อวานโอนเงินทำโครงการโรงอาหารโรงเรียนบ้านแม่แพน้อยไป ทำ500บาท สำหรับหินทราย บริจาคโดยโอนเงินเข้าธนาคารกรุงไทย แต่พอแจ้งชำระหน้าเพจ อัพโหลดรูปแจ้งรายละเอียดเรียบร้อยทำไมข้อมูลไม่ไปคะเพราะอะไร ชี้แจงหน่อย
คำถาม,สอบถามคะ
ทักทาย,สวัสดีครับพี่
คำถาม,รบกวนขออีเมลล์
ทักทาย,สวัสดีค่ะ
ทักทาย,สวัสดีครับ
คำถาม,พอจะมีหนทางช่วยปีเตอร์ไหมค่ะ ตอนนี้ค่ารักษาหนูจะเรื่มไม่ไหวพอจะมีหนทางช่วยปีเตอร์ไหมค่ะ
ทักทาย,สวัสดีค่ะ
ขอบคุณ,ขอบคุณมากครับผม
ค้นหา,ยุวพัฒนา
ขอบคุณ,ขอบคุณค่ะ
คำถาม,สอบถามหน่อยครับ
ทักทาย,สวัสดีครับ ^^
ขอบคุณ,ขอบคุณมากค่ะ
ค้นหา,โครงการมนุษย์ล้อดำน้ำ
ขอบคุณ,ขอบคุณค่ะ
ขอบคุณ,ขอบคุณมากค่ะ ตอนนี้หาบ้านให้ได้แล้วค่ะ ไปส่งมาเรียบร้อยเมื่ออาทิดที่แล้วค่ะ
คำถาม,สวัสดีครับแอดมิน...มีเรื่องรบกวนอยากถามหน่อยครับ
ขอบคุณ,คะขอบคุณนะคะ
คำถาม,พอจะมีโอกาสได้มาทำที่ขอนแ่กนใหมคะ
ขอบคุณ,ได้รับเรียบร้อยแล้วค่ะ ขอบคุณค่ะ
คำถาม,ขอโทษนะคะ พอดียังไม่ได้รับเลยค่ะ
ขอบคุณ,ขอบคุณมากค่ะ
ขอบคุณ,ขอบคุณอีกครั้ง
ขอบคุณ,ขอบคุณเช่นกันค่ะ...


